"shortform","fullname","url"
"","ICT Risk Analysis","https://intranet.mof.gov.sg/portal/IM/Themes/IT-Management/Glossary/EntireSection.aspx"
"","ICt Security","https://intranet.mof.gov.sg/portal/IM/Themes/IT-Management/Glossary/EntireSection.aspx"
"","ICT System","https://intranet.mof.gov.sg/portal/IM/Themes/IT-Management/Glossary/EntireSection.aspx"
"","ICT System Criticality Analysis","https://intranet.mof.gov.sg/portal/IM/Themes/IT-Management/Glossary/EntireSection.aspx"
"","Incident","https://intranet.mof.gov.sg/portal/IM/Themes/IT-Management/Glossary/EntireSection.aspx"
"","Individual","https://intranet.mof.gov.sg/portal/IM/Themes/IT-Management/Glossary/EntireSection.aspx"
"","Individual Records","https://intranet.mof.gov.sg/portal/IM/Themes/IT-Management/Glossary/EntireSection.aspx"
"","Independent","https://intranet.mof.gov.sg/portal/IM/Themes/IT-Management/Glossary/EntireSection.aspx"
"","Informational Service","https://intranet.mof.gov.sg/portal/IM/Themes/IT-Management/Glossary/EntireSection.aspx"
"","Internet GFE","https://intranet.mof.gov.sg/portal/IM/Themes/IT-Management/Glossary/EntireSection.aspx"
"","Internet/Intranet Resources","https://intranet.mof.gov.sg/portal/IM/Themes/IT-Management/Glossary/EntireSection.aspx"
"","Investigation","https://intranet.mof.gov.sg/portal/IM/Themes/IT-Management/Glossary/EntireSection.aspx"
"","Machine-Readable File Format","https://intranet.mof.gov.sg/portal/IM/Themes/IT-Management/Glossary/EntireSection.aspx"
"","Maintenance","https://intranet.mof.gov.sg/portal/IM/Themes/IT-Management/Glossary/EntireSection.aspx"
"","Media Sanitisation","https://intranet.mof.gov.sg/portal/IM/Themes/IT-Management/Glossary/EntireSection.aspx"
"","Metadata","https://intranet.mof.gov.sg/portal/IM/Themes/IT-Management/Glossary/EntireSection.aspx"
"","Microsite","https://intranet.mof.gov.sg/portal/IM/Themes/IT-Management/Glossary/EntireSection.aspx"
"","Mitigate","https://intranet.mof.gov.sg/portal/IM/Themes/IT-Management/Glossary/EntireSection.aspx"
"","Mobile Application","https://intranet.mof.gov.sg/portal/IM/Themes/IT-Management/Glossary/EntireSection.aspx"
"","Mobile Digital Service","https://intranet.mof.gov.sg/portal/IM/Themes/IT-Management/Glossary/EntireSection.aspx"
"","Mobile Government-Furnished Equipment:","https://intranet.mof.gov.sg/portal/IM/Themes/IT-Management/Glossary/EntireSection.aspx"
"","National Interest","https://intranet.mof.gov.sg/portal/IM/Themes/IT-Management/Glossary/EntireSection.aspx"
"","Officer","https://intranet.mof.gov.sg/portal/IM/Themes/IT-Management/Glossary/EntireSection.aspx"
"","Organisation","https://intranet.mof.gov.sg/portal/IM/Themes/IT-Management/Glossary/EntireSection.aspx"
"","Person","https://intranet.mof.gov.sg/portal/IM/Themes/IT-Management/Glossary/EntireSection.aspx"
"","Personal Data","https://intranet.mof.gov.sg/portal/IM/Themes/IT-Management/Glossary/EntireSection.aspx"
"","Policy","https://intranet.mof.gov.sg/portal/IM/Themes/IT-Management/Glossary/EntireSection.aspx"
"","Prescribed Law Enforcement Agency","https://intranet.mof.gov.sg/portal/IM/Themes/IT-Management/Glossary/EntireSection.aspx"
"","Preservation","https://intranet.mof.gov.sg/portal/IM/Themes/IT-Management/Glossary/EntireSection.aspx"
"","Preventive Action","https://intranet.mof.gov.sg/portal/IM/Themes/IT-Management/Glossary/EntireSection.aspx"
"","Private Trust","https://intranet.mof.gov.sg/portal/IM/Themes/IT-Management/Glossary/EntireSection.aspx"
"","Procedure","https://intranet.mof.gov.sg/portal/IM/Themes/IT-Management/Glossary/EntireSection.aspx"
"","Proceedings","https://intranet.mof.gov.sg/portal/IM/Themes/IT-Management/Glossary/EntireSection.aspx"
"","Processing","https://intranet.mof.gov.sg/portal/IM/Themes/IT-Management/Glossary/EntireSection.aspx"
"","Public Archives","https://intranet.mof.gov.sg/portal/IM/Themes/IT-Management/Glossary/EntireSection.aspx"
"","Public Interest","https://intranet.mof.gov.sg/portal/IM/Themes/IT-Management/Glossary/EntireSection.aspx"
"","Public Records","https://intranet.mof.gov.sg/portal/IM/Themes/IT-Management/Glossary/EntireSection.aspx"
"","Public Sector","https://intranet.mof.gov.sg/portal/IM/Themes/IT-Management/Glossary/EntireSection.aspx"
"","Publicly Available","https://intranet.mof.gov.sg/portal/IM/Themes/IT-Management/Glossary/EntireSection.aspx"
"","Publish Level","https://intranet.mof.gov.sg/portal/IM/Themes/IT-Management/Glossary/EntireSection.aspx"
"","Security Management Programme","https://intranet.mof.gov.sg/portal/IM/Themes/IT-Management/Glossary/EntireSection.aspx"
"","Security Review Of Systems","https://intranet.mof.gov.sg/portal/IM/Themes/IT-Management/Glossary/EntireSection.aspx"
"","Sensitive Data","https://intranet.mof.gov.sg/portal/IM/Themes/IT-Management/Glossary/EntireSection.aspx"
"","Simulation","https://intranet.mof.gov.sg/portal/IM/Themes/IT-Management/Glossary/EntireSection.aspx"
"","Standard","https://intranet.mof.gov.sg/portal/IM/Themes/IT-Management/Glossary/EntireSection.aspx"
"","Static Site","https://intranet.mof.gov.sg/portal/IM/Themes/IT-Management/Glossary/EntireSection.aspx"
"","Statistical Data","https://intranet.mof.gov.sg/portal/IM/Themes/IT-Management/Glossary/EntireSection.aspx"
"","Structured Data","https://intranet.mof.gov.sg/portal/IM/Themes/IT-Management/Glossary/EntireSection.aspx"
"","System","https://intranet.mof.gov.sg/portal/IM/Themes/IT-Management/Glossary/EntireSection.aspx"
"","System Criticality Assessment","https://intranet.mof.gov.sg/portal/IM/Themes/IT-Management/Glossary/EntireSection.aspx"
"","Tabletop Walkthrough","https://intranet.mof.gov.sg/portal/IM/Themes/IT-Management/Glossary/EntireSection.aspx"
"","Technical Architecture","https://intranet.mof.gov.sg/portal/IM/Themes/IT-Management/Glossary/EntireSection.aspx"
"","Test","https://intranet.mof.gov.sg/portal/IM/Themes/IT-Management/Glossary/EntireSection.aspx"
"","Third Party","https://intranet.mof.gov.sg/portal/IM/Themes/IT-Management/Glossary/EntireSection.aspx"
"","Transactional Service","https://intranet.mof.gov.sg/portal/IM/Themes/IT-Management/Glossary/EntireSection.aspx"
"","Unclassified Data","https://intranet.mof.gov.sg/portal/IM/Themes/IT-Management/Glossary/EntireSection.aspx"
"","Use","https://intranet.mof.gov.sg/portal/IM/Themes/IT-Management/Glossary/EntireSection.aspx"
"","Users","https://intranet.mof.gov.sg/portal/IM/Themes/IT-Management/Glossary/EntireSection.aspx"
"","Unstructured Data","https://intranet.mof.gov.sg/portal/IM/Themes/IT-Management/Glossary/EntireSection.aspx"
"","Validate","https://intranet.mof.gov.sg/portal/IM/Themes/IT-Management/Glossary/EntireSection.aspx"
"","Walkthrough","https://intranet.mof.gov.sg/portal/IM/Themes/IT-Management/Glossary/EntireSection.aspx"
"","Web-Based","https://intranet.mof.gov.sg/portal/IM/Themes/IT-Management/Glossary/EntireSection.aspx"
"","Web Services","https://intranet.mof.gov.sg/portal/IM/Themes/IT-Management/Glossary/EntireSection.aspx"
